Scenario,Accuracy,Precision_Macro,Recall_Macro,F1_Macro
Scenario 1: All retained v2,0.7198221092757306,0.6176982300594076,0.6023369216120988,0.6090750181913097
Scenario 2: Stopwords removed v2,0.6467978706242943,0.564870932284011,0.5594502391119915,0.5619592961511962
Scenario 3: Punctuation removed v2,0.6582513308598161,0.5839631657746054,0.5759019255071247,0.5795827452336281
Scenario 4: Both removed v2,0.6498628811098565,0.5696705433084062,0.5635407827845585,0.5663699169116502
Scenario 5: Frequency Discounting v2 (Dataset A),0.7150571791613723,0.6170571491115534,0.6023301113686429,0.6089607506506715
