Scenario,Accuracy,Precision,Recall,F1
Scenario 1: All retained,0.8956953642384106,0.9308666017526777,0.9455984174085065,0.9381746810598626
Scenario 2: Stopwords removed,0.8703182507036155,0.9174777244688143,0.9182329537659487,0.917855183763028
Scenario 3: Punctuation removed,0.8794111279497727,0.9221933543005606,0.9252297983262451,0.9237090809478153
Scenario 4: Both removed,0.8719419787832864,0.9179901423877328,0.9198792701330772,0.9189337353525663
Scenario 5: Frequency Discounting (Dataset A),0.8990066225165563,0.93408203125,0.9460929772502473,0.9400491400491401
